,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
361,162,209,1,8,0,0.0,7,2.0,3.0,13,0.0,0.0,0.0
362,162,209,1,1,0,0.0,3,2.0,10.0,14,0.0,1.0,1.0
363,162,209,1,1,0,0.0,7,4.0,9.0,9,0.0,0.0,0.0
364,162,209,1,1,0,0.0,1,5.0,10.0,14,0.0,3.0,0.0
366,162,209,1,1,0,0.0,3,4.0,25.0,9,0.0,0.0,0.0
367,162,209,1,1,0,0.0,1,4.0,11.0,9,0.0,0.0,0.0
368,162,210,1,1,0,0.0,2,3.0,7.0,12,1.0,0.0,0.0
369,162,210,1,1,0,0.0,3,1.0,24.0,9,1.0,0.0,0.0
372,162,209,1,1,0,0.0,4,2.0,24.0,8,0.0,0.0,0.0
373,162,210,1,1,0,0.0,2,4.0,9.0,8,1.0,0.0,0.0
374,162,210,1,1,0,0.0,2,3.0,5.0,14,1.0,2.0,1.0
375,162,209,1,1,0,0.0,5,3.0,22.0,9,0.0,0.0,0.0
376,162,209,1,1,0,0.0,1,3.0,12.0,8,0.0,0.0,0.0
377,162,210,1,1,0,0.0,2,1.0,11.0,12,0.0,0.0,0.0
379,162,209,0,17,0,0.0,7,1.0,29.0,13,0.0,1.0,1.0
380,162,209,1,1,0,0.0,6,3.0,14.0,8,0.0,0.0,0.0
381,162,209,1,1,0,0.0,1,1.0,25.0,13,0.0,1.0,1.0
384,162,209,0,1,0,0.0,1,5.0,21.0,14,0.0,0.0,1.0
385,162,209,1,1,0,0.0,1,4.0,20.0,10,0.0,0.0,0.0
386,162,210,0,1,0,0.0,3,2.0,21.0,11,2.0,0.0,1.0
387,162,209,1,27,0,0.0,4,3.0,15.0,8,0.0,0.0,0.0
388,162,210,1,1,0,0.0,7,3.0,11.0,8,0.0,0.0,0.0
391,162,210,0,1,0,0.0,2,2.0,18.0,14,2.0,0.0,1.0
392,162,209,1,1,0,0.0,5,3.0,20.0,14,0.0,0.0,0.0
393,162,210,1,1,0,0.0,3,4.0,18.0,8,1.0,0.0,0.0
394,162,210,1,1,0,0.0,7,4.0,9.0,13,1.0,0.0,0.0
396,162,210,1,1,0,0.0,2,4.0,6.0,8,1.0,0.0,0.0
398,162,210,0,1,0,0.0,2,3.0,5.0,7,2.0,0.0,1.0
399,162,209,0,1,0,0.0,1,3.0,10.0,12,0.0,1.0,1.0
400,162,209,1,1,0,0.0,1,3.0,31.0,8,0.0,0.0,0.0
402,162,209,1,1,0,0.0,7,1.0,30.0,8,0.0,0.0,0.0
403,162,210,1,1,0,0.0,5,1.0,30.0,9,1.0,0.0,0.0
406,162,209,1,17,0,0.0,7,4.0,25.0,14,0.0,0.0,0.0
407,162,210,1,1,0,0.0,5,5.0,28.0,13,1.0,0.0,0.0
409,162,209,1,1,0,0.0,7,5.0,3.0,9,0.0,0.0,0.0
411,162,210,1,1,0,0.0,2,3.0,7.0,10,1.0,1.0,1.0
412,162,209,1,8,0,0.0,8,1.0,17.0,8,0.0,0.0,0.0
413,162,209,1,1,0,0.0,1,4.0,12.0,9,0.0,0.0,0.0
414,162,209,1,8,0,0.0,2,2.0,25.0,14,0.0,0.0,0.0
415,162,210,1,1,0,0.0,3,3.0,14.0,11,1.0,0.0,0.0
416,162,210,1,1,0,0.0,5,5.0,28.0,13,1.0,0.0,0.0
417,162,209,0,1,0,0.0,1,1.0,9.0,13,0.0,1.0,2.0
418,162,209,0,1,0,0.0,1,4.0,23.0,13,0.0,0.0,1.0
420,162,209,1,1,0,0.0,1,5.0,2.0,12,0.0,1.0,1.0
